tax_id	taxon_name
238783	Pseudorhodobacter
255204	Pseudoclavibacter
1221880	Psychrobacillus
501022	Glaciibacter
1418588	Tersicoccus
157226	Jeotgalibacillus
648802	Rummeliibacillus
861914	Fibrella
911113	Bryobacter
91914	Asaia
190323	Plantibacter
387095	Maribius
157920	Cellulosimicrobium
125216	Roseomonas
59753	Alcanivorax
518733	Microterricola
1649298	Siccibacter
1223423	Neokomagataea
1207070	Oceaniovalibus
92944	Ketogulonicigenium
76634	Mycetocola
404432	Salinicola
93368	Pseudaminobacter
1535192	Desulfocarbo
453849	Henriciella
60919	Sanguibacter
454159	Kiloniella
28196	Arcobacter
28231	Geobacter
355929	Yonghaparkia
159345	Roseibacterium
94008	Thermicanus
1945592	Lagierella
1077265	Chthonomonas
1929297	Bittarella
1470577	Paenirhodobacter
274591	Hoeflea
29548	Rhodothermus
111500	Muricauda
111782	Tolypothrix
46352	Agrococcus
46468	Orenia
63132	Geitlerinema
669368	Coleofasciculus
407217	Aquitalea
161492	Anaeromyxobacter
47054	Dethiosulfovibrio
293088	Martelella
309512	Dinoroseobacter
1964366	Nissabacter
653686	Wenxinia
489909	Nosocomiicoccus
1079922	Commensalibacter
129957	Carboxydothermus
1031282	Candidatus_Marithrix
31988	Aminobacter
245186	Loktanella
196080	Terasakiella
146936	Azonexus
32257	Kingella
81466	Aminobacterium
704093	Anaerobacillus
376488	Halotalea
1097466	Defluviimonas
212790	Sulfurihydrogenibium
65496	Actinoalloteichus
13	Dictyoglomus
18	Pelobacter
32	Myxococcus
40	Stigmatella
47	Archangium
393277	Donghicola
59	Vitreoscilla
71	Simonsiella
360528	Pelagibaca
101	Flectobacillus
105	Runella
107	Spirosoma
118	Planctomyces
127	Isosphaera
98443	Richelia
138	Borrelia
146	Spirochaeta
157	Treponema
1048757	Candidatus_Moranella
179	Leptospirillum
33001	Desulfurella
1769713	Flexilinea
262406	Thermobaculum
262	Francisella
1769729	Hathewaya
360731	Candidatus_Jettenia
33071	Gloeobacter
1245590	Mariniradius
416	Methylomonas
393661	Congregibacter
1049006	Fortiea
461	Fluoribacter
983507	Ponticoccus
499	Thermomicrobium
1573534	Faecalitalea
1573536	Faecalicoccus
768	Anaplasma
459520	Neptuniibacter
776	Coxiella
459532	Terribacillus
810	Chlamydia
832	Fibrobacter
843	Wolinella
862	Syntrophomonas
869	Dichelobacter
890	Desulfuromonas
896	Desulfococcus
898	Desulfomicrobium
939	Hydrogenobacter
958	Bdellovibrio
978	Cytophaga
1011	Sporocytophaga
1016	Capnocytophaga
1021	Beggiatoa
1023	Microscilla
1030	Thiothrix
1051	Ectothiorhodospira
1056	Thiocapsa
1068	Rhodomicrobium
1091	Chlorobium
1099	Pelodictyon
1101	Prosthecochloris
33870	Coriobacterium
1107	Chloroflexus
230494	Reinekea
1123	Chlorogloeopsis
1125	Microcystis
885864	Jeongeupia
1142	Synechocystis
296051	Terrimonas
1152	Pseudanabaena
1175	Aphanizomenon
33951	Acetobacterium
1186	Calothrix
1190	Fischerella
1198	Phormidium
1205	Trichodesmium
33973	Acidobacterium
1222	Prochlorothrix
33993	Neorickettsia
1227	Nitrosococcus
1232	Nitrosovibrio
34000	Acidomonas
1237	Piscirickettsia
263377	Salipiger
230666	Chitinibacter
34067	Cycloclasticus
66848	Desulfonatronum
34093	Simkania
460073	Segetibacter
34098	Blattabacterium
34104	Streptobacillus
263510	Crocosphaera
1541445	Candidatus_Phaeomarinobacter
1375	Aerococcus
1380	Atopobium
1279384	Eggerthia
165301	Lentzea
329162	Chroogloeocystis
1869285	Allofrancisella
132607	Planktothricoides
689697	Salisaeta
886360	Rudaea
198251	Candidatus_Pelagibacter
1645	Renibacterium
1651	Alloiococcus
