phylum	genus	genus_tax_id
Proteobacteria	Orrella	1921582
Proteobacteria	Thalassobacter	266808
Proteobacteria	Methylocapsa	184923
Proteobacteria	Aureimonas	414371
Firmicutes	Ruthenibacterium	1905344
Actinobacteria	Salinispora	168694
Actinobacteria	Frondihabitans	447237
Proteobacteria	Frateuria	70411
Firmicutes	Pelosinus	365348
Proteobacteria	Xylophilus	54066
Firmicutes	Viridibacillus	496496
Actinobacteria	Lysinimicrobium	1217415
Proteobacteria	Halioglobus	1217416
Actinobacteria	Knoellia	136099
Proteobacteria	Belnapia	365532
Actinobacteria	Dietzia	37914
Cyanobacteria	Planktothrix	54304
Bacteroidetes	Leeuwenhoekiella	283735
Bacteroidetes	Bizionia	283785
Actinobacteria	Catenulispora	414878
Actinobacteria	Stackebrandtia	283810
Proteobacteria	Methylibium	316612
Bacteroidetes	Alloprevotella	1283313
Firmicutes	Beduini	1922299
Bacteroidetes	Coprobacter	1348911
Bacteroidetes	Lewinella	70994
Thermotogae	Pseudothermotoga	1643951
Proteobacteria	Sulfuritalea	1054211
Actinobacteria	Gordonibacter	644652
Proteobacteria	Nitrincola	267849
Actinobacteria	Blastococcus	38501
Firmicutes	Defluviitalea	1185408
Bacteroidetes	Aequorivita	153265
Proteobacteria	Gayadomonas	1234605
Bacteroidetes	Owenweeksia	267986
Actinobacteria	Streptomonospora	104204
Firmicutes	Brevibacillus	55080
Bacteroidetes	Tenacibaculum	104267
Proteobacteria	Methylocella	120652
Proteobacteria	Brenneria	71655
Proteobacteria	Ottowia	219181
Actinobacteria	Modestobacter	88138
Actinobacteria	Paenarthrobacter	1742992
Actinobacteria	Pseudarthrobacter	1742993
Actinobacteria	Glutamicibacter	1742989
Proteobacteria	Collimonas	202907
Proteobacteria	Nautella	481445
Proteobacteria	Paramesorhizobium	1759400
Proteobacteria	Microvirga	186650
Firmicutes	Parageobacillus	1906945
Actinobacteria	Enterorhabdus	580024
Proteobacteria	Thioclava	285107
Bacteroidetes	Asinibacterium	1612198
Bacteroidetes	Schleiferia	1333716
Firmicutes	Acetoanaerobium	186831
Proteobacteria	Ferrovum	416212
Firmicutes	Eisenbergiella	1432051
Actinobacteria	Leucobacter	55968
Actinobacteria	Phycicoccus	367298
Proteobacteria	Paucibacter	318147
Proteobacteria	Tepidiphilus	203470
Firmicutes	Massilibacterium	1923871
Bacteroidetes	Gabonia	1923867
Actinobacteria	Smaragdicoccus	613121
Proteobacteria	Methylomicrobium	39773
Firmicutes	Desnuesiella	1924062
Firmicutes	Salimicrobium	351195
Firmicutes	Bariatricus	1924081
Proteobacteria	Necropsobacter	908284
Firmicutes	Caloranaerobacter	171003
Firmicutes	Butyricicoccus	580596
Bacteroidetes	Lascolabacillus	1924067
Firmicutes	Dialister	39948
Firmicutes	Neglecta	1924105
Firmicutes	Numidum	1924101
Firmicutes	Mahella	252965
Actinobacteria	Couchioplanes	56433
Proteobacteria	Oligotropha	40136
Proteobacteria	Pelomonas	335058
Firmicutes	Lysinibacillus	400634
Firmicutes	Peptoclostridium	1481960
Proteobacteria	Dickeya	204037
Proteobacteria	Methylophaga	40222
Proteobacteria	Glaciecola	89404
Proteobacteria	Dechloromonas	73029
Bacteroidetes	Zunongwangia	417127
Proteobacteria	Stenotrophomonas	40323
Proteobacteria	Phaeobacter	302485
Bacteroidetes	Winogradskyella	286104
Proteobacteria	Pectobacterium	122277
Proteobacteria	Chelativorans	449972
Firmicutes	Tepidanaerobacter	499228
Proteobacteria	Sutterella	40544
Proteobacteria	Candidatus_Methylopumilus	1679002
Proteobacteria	Pelistega	106146
Proteobacteria	Pseudoxanthobacter	433838
Proteobacteria	Enterovibrio	188143
Proteobacteria	Pseudacidovorax	433923
Proteobacteria	Gallibacterium	155493
Bacteroidetes	Phaeodactylibacter	1564515
Bacteroidetes	Ulvibacter	237444
Bacteroidetes	Kordia	221065
Actinobacteria	Luteipulveratus	745364
Bacteroidetes	Rhodohalobacter	1974209
Bacteroidetes	Alkaliflexus	286729
Proteobacteria	Candidatus_Contendobacter	1400859
Proteobacteria	Thalassobius	335927
Actinobacteria	Segniliparus	286801
Proteobacteria	Cupriavidus	106589
Proteobacteria	Ensifer	106591
Proteobacteria	Oligella	90243
Proteobacteria	Microvirgula	57479
Actinobacteria	Kocuria	57493
Actinobacteria	Nesterenkonia	57494
Bacteroidetes	Siansivirga	1204360
Firmicutes	Catabacter	270497
Proteobacteria	Shimwellia	1335483
Proteobacteria	Simplicispira	352450
Proteobacteria	Herminiimonas	303379
Proteobacteria	Chania	1745211
Actinobacteria	Isoptericola	254250
Proteobacteria	Roseovarius	74030
Proteobacteria	Brevundimonas	41275
Bacteroidetes	Phocaeicola	909656
Proteobacteria	Frischella	1335631
Proteobacteria	Caballeronia	1827195
Proteobacteria	Komagataeibacter	1434011
Bacteroidetes	Olleya	336276
Firmicutes	Domibacillus	1433999
Bacteroidetes	Cruoricaptor	1433995
Proteobacteria	Jannaschia	188905
Proteobacteria	Methylomarinum	1221209
Firmicutes	Aquibacillus	1647190
Firmicutes	Negativicoccus	909928
Bacteroidetes	Jejuia	762551
Proteobacteria	Moritella	58050
Actinobacteria	Hoyosella	697025
Bacteroidetes	Flaviramulus	369400
Actinobacteria	Glycomyces	58113
Firmicutes	Anaerosporomusa	1794910
Firmicutes	Dorea	189330
Bacteroidetes	Apibacter	1778601
Firmicutes	Bavariicoccus	697279
Proteobacteria	Mangrovibacter	451512
Proteobacteria	Neoasaia	320496
Proteobacteria	Basfia	697331
Bacteroidetes	Sunxiuqinia	1254401
Actinobacteria	Cryocola	205841
Firmicutes	Ornithinibacillus	484508
Proteobacteria	Diaphorobacter	238749
Actinobacteria	Alloscardovia	419014
Bacteroidetes	Dysgonomonas	156973
Firmicutes	Lachnobacterium	140625
Halanaerobiaeota	Halobacteroides	42417
Bacteroidetes	Culturomica	1926651
Bacteroidetes	Prevotellamassilia	1926672
Firmicutes	Phocea	1926663
Bacteroidetes	Mediterranea	1926659
Proteobacteria	Caenimonas	763439
Proteobacteria	Rhodanobacter	75309
Firmicutes	Thermotalea	648799
Firmicutes	Solibacillus	648800
Proteobacteria	Tropicibacter	599653
Proteobacteria	Alkanindiges	222991
Proteobacteria	Pseudorhodoferax	747294
Bacteroidetes	Arcticibacter	1288026
Proteobacteria	Duganella	75654
Bacteroidetes	Cloacibacterium	501783
Proteobacteria	Pseudochrobactrum	354349
Firmicutes	Romboutsia	1501226
Proteobacteria	Rodentibacter	1960084
Bacteroidetes	Alistipes	239759
Proteobacteria	Mannheimia	75984
Actinobacteria	Skermania	59613
Firmicutes	Fusibacter	76008
Proteobacteria	Limnohabitans	665874
Proteobacteria	Chitinilyticum	551208
Verrucomicrobia	Akkermansia	239934
Bacteroidetes	Chryseobacterium	59732
Bacteroidetes	Bergeyella	59735
Proteobacteria	Pacificimonas	1960290
Firmicutes	Anaerostipes	207244
Firmicutes	Cellulosilyticum	698776
Proteobacteria	Izhakiella	1780190
Firmicutes	Lactonifactor	420345
Bacteroidetes	Gabonibacter	1911312
Proteobacteria	Leisingera	191028
Bacteroidetes	Wenyingzhuangia	1518147
Proteobacteria	Aquabacterium	92793
