file_id	file_name	aliquot_barcode
f9456f03-9967-40da-a1df-9f5c60eeffd7	dd72b2fc-577b-446d-9460-ed17e32e0765_gdc_realn_rehead.bam	TCGA-AG-3883-01A-02R-0905-07
93be2945-a8ed-48c6-8835-0d4c2f007334	5451e137-26ed-425d-9204-a5b81d33f767_gdc_realn_rehead.bam	TCGA-AG-4021-01A-01R-1736-07
edd2527b-92b0-4c30-8458-d9c568f48c1b	b49d1679-a681-4ceb-8fda-06a808d847d0_gdc_realn_rehead.bam	TCGA-CI-6621-01A-11R-1830-07
54a61d82-2052-4651-8b17-e035fd09bc4c	514b5e7c-4f24-443b-bcf8-062acc866655_gdc_realn_rehead.bam	TCGA-F5-6814-01A-31R-1928-07
2c9b6da6-3168-4429-9abf-ed953f4e2b53	e575cb8f-b31d-4daf-844e-5a5ff71a36b6_gdc_realn_rehead.bam	TCGA-AG-A014-01A-02R-A002-07
a00bb3a9-e2f2-42a7-849f-483d782319e7	ebabe902-4cbb-4d49-870b-faf9e9b9c174_gdc_realn_rehead.bam	TCGA-DC-6157-01A-11R-1660-07
017dd171-3e6d-452e-bccd-b8e55e87b7f1	d7eba0d1-7dcd-4688-9382-f6244fda48c9_gdc_realn_rehead.bam	TCGA-AF-3400-01A-01R-0821-07
41afaaab-abf6-4557-a206-bfe212f81557	c99f50ca-5acd-4a84-bd9f-b9d030b23c26_gdc_realn_rehead.bam	TCGA-AG-A025-01A-01R-A00A-07
d24b70c1-7159-4c54-9a44-52fc0ea0a364	2da5730c-b0f4-4267-83d9-3bcc2234e445_gdc_realn_rehead.bam	TCGA-AG-4022-01A-01R-1736-07
85ba5f54-8931-4c50-b58b-49846dd77113	9f8d3ea5-e4eb-4dcd-9c86-f4b66346e20e_gdc_realn_rehead.bam	TCGA-F5-6810-01A-11R-1830-07
7f8fad9c-f810-4e5d-9fe5-3169c04c877e	4ea8c38f-920b-4bd9-bfe7-40c236b4b58e_gdc_realn_rehead.bam	TCGA-AF-2690-01A-02R-1736-07
a4fd5efb-5558-473d-bcd7-35924ac303ee	166eeba6-fe5a-49d9-abaf-9748904ac4e6_gdc_realn_rehead.bam	TCGA-EF-5831-01A-01R-1660-07
4fcd18dd-13c5-4809-85c3-803fb1fe6a74	60613ca4-27f9-4578-a265-09b089027d8d_gdc_realn_rehead.bam	TCGA-EI-6917-01A-11R-1928-07
