file_id	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils	P_value	Correlation	RMSE	Absolute_score_sig_score	bin_B_cells_naive	bin_B_cells_memory	bin_Plasma_cells	bin_T_cells_CD8	bin_T_cells_CD4_naive	bin_T_cells_CD4_memory_resting	bin_T_cells_CD4_memory_activated	bin_T_cells_follicular_helper	bin_T_cells_regulatory_Tregs	bin_T_cells_gamma_delta	bin_NK_cells_resting	bin_NK_cells_activated	bin_Monocytes	bin_Macrophages_M0	bin_Macrophages_M1	bin_Macrophages_M2	bin_Dendritic_cells_resting	bin_Dendritic_cells_activated	bin_Mast_cells_resting	bin_Mast_cells_activated	bin_Eosinophils	bin_Neutrophils	bin_Absolute_score_sig_score
61f1e33f-6c84-43cb-b7d6-53701e9ace1d	0.134345517943304	0	0.00285295114398936	0.0731011042490154	0.000155650210918139	0.193637029532382	0.082427421349003	0.0391261485003277	0.0924141344867505	0	0.0987200674055627	0	0	0.219644963257004	0.0216615099579069	0.205007810850768	0.0220984550797673	0.0151819804350691	0	0.0715452782656264	0	0.00932093665917962	0.002	0.291575853406844	0.963693815536521	1.28124095932657	medium_high	absent	low	low	present	low	medium_low	medium_low	medium_low	absent	high	absent	absent	low	low	medium_low	medium_low	present	absent	medium_high	absent	present	low
da61c732-293d-41aa-821c-caba4b248276	0.0976715139471843	0.00385329304762792	0	0.0521714494454025	0	0.334209360330686	0.0710505127798634	0.0181079503892005	0.0409448727635939	0	0.0676523259617709	0.0134566631365227	0.0226217290912532	0.304885229306159	0.104562873110181	0.343446286410927	0.110109718065337	0	0.116505590208797	0	0	0.0113770735905206	0	0.382657620723378	0.923623224455063	1.71262644158503	medium_low	present	low	low	absent	medium_low	medium_low	low	low	absent	medium_high	present	present	medium_low	medium_low	medium_high	high	absent	present	low	absent	present	low
32ba9767-5581-4bfb-a504-07b2df818e10	0.223395654350746	0	0.148193591619269	0.319928924690512	0	0.41910988222545	0.0356047900122219	0.0764475927493929	0.161588121601035	0	0.0592481488113395	0.00712045284272519	0.0643048207843748	0.331595921939409	0.15916619297918	0.283867975475064	0.151066572967128	0.072894002034763	0.449993841233739	0	0.00221100949933594	0.0036924908606069	0	0.58703970792448	0.835101871764619	2.96942998667629	high	absent	high	medium_high	absent	medium_high	low	medium_high	high	absent	medium_high	present	present	medium_low	medium_high	medium_low	high	present	present	low	present	present	medium_high
1322abdc-d1c1-456e-8715-b3050f4615a8	0.113843145940736	0	0.0269825935604833	0.26687045743479	0	0.65653427049675	0.305335172733187	0.129579735742707	0.0508492238990706	0	0.0533646724638325	0	0	0.479780293861949	0.0799043552520765	0.390472147892165	0.14016625799038	0.0183475008670674	0.0787777966483368	0	0.00898966623868105	0	0	0.61390864587591	0.813826517077524	2.79979729102221	medium_high	absent	medium_low	medium_high	absent	high	high	high	low	absent	medium_high	absent	absent	medium_high	medium_low	medium_high	high	present	present	low	present	absent	medium_high
d17056a1-8558-4585-92cb-f967d832459e	0.114809452131607	0	0.0227916809079067	0.0839678126454111	0	0.223432813871698	0.0189035304341713	0.097305006445493	0.0676249861782018	0	0.049221134978502	0	0.0158614400825054	0.185533100215281	0.0424931001803859	0.113578428871438	0.0407890534036649	0	0	0.128883443010159	0.000743717136721166	0	0	0.394918364043147	0.918313614179941	1.20593870049314	medium_high	absent	medium_low	low	absent	low	low	medium_high	medium_low	absent	medium_low	absent	present	low	low	low	medium_low	absent	absent	high	present	absent	low
b7e78979-c177-427d-a627-b5f241f36232	0.0922216820771468	0.00333177373201193	0	0	0	0.713178112464108	0.207994659497532	0	0	0	0.146444275132029	0	0.0314203896157956	0.193617179189373	0.0820247673012472	0.210772931005037	0.0725401478578294	0.0189152687791987	0.189191826155592	0.0254125497127941	0.0560582087573692	0	0	0.378261773280903	0.925487579087224	2.04312377127706	medium_low	present	low	low	absent	high	high	low	low	absent	high	absent	present	low	medium_low	medium_low	medium_high	present	present	medium_low	present	absent	medium_low
7adde6fc-7b62-4f26-b327-d225b429823a	0.193023916376825	0	0.0146924449393723	0.353979762752989	0	0.457069655529198	0.230063209664544	0.0739776402720239	0.147768667778534	0.161948876222755	0.0635869179137141	0.0449972045537718	0.0769405295182687	0.230603258440361	0.568254617180081	0.2740395539547	0.124000904582534	0	0.584879789810808	0	6.67599965983449e-08	0	0	0.474373927118238	0.88083385593097	3.59982701625048	high	absent	medium_low	high	absent	medium_high	high	medium_low	medium_high	present	medium_high	present	present	low	high	medium_low	high	absent	present	low	present	absent	high
d5cad692-1850-45cc-8191-77ad568e6fdc	0.160280602940637	0	0.0118075053592819	0.298677350570557	0	0.348895130571234	0.194912570034183	0.0514859054921572	0.314268573711645	0	0.383025514125792	0	0.0577594048468512	0.998788895336216	0.265887271022487	0.386963795828808	0.079881548305466	0.0029425174585164	0	0.274052425423633	0	0.028377421079829	0	0.688922193662823	0.765467767479485	3.85800643210729	medium_high	absent	medium_low	medium_high	absent	medium_low	high	medium_low	high	absent	high	absent	present	high	high	medium_high	high	present	absent	high	absent	present	high
45a06d41-9be1-486f-a2a4-c33ce4a6328a	0.0927187589409244	0	0.0247521191432009	0.164107997778186	0	0.466165463806139	0.206436198949084	0.0117793371652178	0.00728185850990239	0	0.103309686167565	0	0.0108181062061833	0.226262954009621	0.0951560803135246	0.186300655862325	0.0293935802896579	0.0115112349143311	0.0399571561415576	0.0565594775551704	0	0	0	0.511208948204062	0.86405398048305	1.73251066575259	medium_low	absent	medium_low	medium_low	absent	medium_high	high	low	low	absent	high	absent	present	low	medium_low	low	medium_low	present	present	medium_high	absent	absent	low
3d70ba05-81f9-4b1a-85b0-ead0fcbd56f3	0.131211164805384	0	0	0.189779473538155	0	0.222189339026433	0.00933397156751146	0.10116587202664	0.136991811425411	0	0.0167305708544942	0.0123272842350353	0	0.974163557359518	0.113616736057793	0.270383616868824	0.0385971480270538	0	0	0.181824750902328	0	0.015313108965631	0	0.856725370501084	0.623988449288574	2.41362840566021	medium_high	absent	low	medium_high	absent	low	low	medium_high	medium_high	absent	medium_low	present	absent	high	medium_low	medium_low	medium_low	absent	absent	high	absent	present	medium_high
fae8df44-cea4-4b8b-9a0a-be7cb1af84c7	0.168007212440381	0	0.0460351022196592	0.461414948339214	0	0.454167519681063	0.40864400003728	0.109843874442801	0.166835899243426	0	0.0985113490359103	0	0.0273194236712426	1.10702833203145	0.247086937042641	0.58850737943661	0.129873540394483	0.0171620497485819	0.0434563274759357	0.114015318421742	0.0287240526821547	0.043069716953156	0	0.634707002033584	0.799439819284411	4.25970298329773	medium_high	absent	medium_high	high	absent	medium_high	high	medium_high	high	absent	high	absent	present	high	high	high	high	present	present	medium_high	present	present	high
5b225e8b-014b-4407-bc80-8566b10d9103	0.0987345236335638	0	0.106044177384393	0.556164398664258	0	0.291292052963061	0.142309780467833	0.0898179165169586	0.176269779767833	0	0.116632294850753	0	0.340732998543229	0.0970782152502226	0.433371176832651	1.04362581342842	0.0121128454056192	0.0227629772448513	0.358078739517694	0	0	0	0	0.446770871794507	0.89522519598983	3.88502769047134	medium_low	absent	high	high	absent	medium_low	medium_high	medium_high	high	absent	high	absent	present	low	high	high	low	present	present	low	absent	absent	high
29373132-a54d-416d-9915-8af204d06645	0.134674482875454	0	0.392343622012607	0.238739405712528	0	0.345279361963586	0.205173901439804	0.103126491254281	0.0901726385577459	0	0.0315175500970557	0	0.0075180103911341	0.234840891142257	0.113078608413999	0.341628480143902	0.0834203289742081	0.0263972291554644	0.0705667233546036	0.0512570213578382	0.00153572626199436	0.0260206303809166	0	0.538646026475474	0.85070417898284	2.49729110348938	medium_high	absent	high	medium_high	absent	medium_low	high	medium_high	medium_low	absent	medium_low	absent	present	low	medium_low	medium_high	high	present	present	medium_high	present	present	medium_high
7d10f16e-737a-4351-ab41-9e9794b92785	0.111874678102487	0	0.00319199510100849	0.133494348796192	0	0.271836393914018	0.0591452104791495	0.0508597079547066	0.0981651507048708	0	0.0952813921241527	0	0.000436814343388084	0.474681358449054	0.102677706033862	0.211582443700616	0.0290423224738332	0.0465233216523965	0	0.0932812551689313	0.0142216864244003	0.0181506601090617	0	0.665977299112811	0.779716078412729	1.81444644553213	medium_high	absent	low	medium_low	absent	medium_low	medium_low	medium_low	medium_high	absent	high	absent	present	medium_high	medium_low	medium_low	medium_low	present	absent	medium_high	present	present	medium_low
a70e9c48-e879-406c-89fe-d951f93416db	0.30830263489278	0	0.0968086669767056	0.482184756892218	0	0.0563998026993341	0.115444131992832	0.209615210954358	0.0963204739634369	0	0.163269055331661	0.128381451570791	0	0.539923714187626	0.106191393494041	0.696897572456992	0.0130723140162482	0	0.0715552545699671	0	0	0.0149030671829008	0	0.708981452628009	0.758925959485057	3.09926950118189	high	absent	high	high	absent	low	medium_high	high	medium_low	absent	high	present	absent	medium_high	medium_low	high	low	absent	present	low	absent	present	high
2b5f10a8-0fe7-449a-ac38-468cf32c5704	0.111118906853012	0	0	0	0.024008708047481	0.260451519105684	0	0	0.0529098078440261	0	0.0607357018269081	0	0	1.14409273253679	0.0175380045563941	0.248790000399357	0	0.005541842940247	0	0.424951977991937	0.000593413311491673	0.0753425040976966	0	0.545700228225509	0.838462855754173	2.42607511951103	medium_high	absent	low	low	present	medium_low	low	low	low	absent	medium_high	absent	absent	high	low	medium_low	low	present	absent	high	present	present	medium_high
34692553-cc9e-454e-a003-85618f12e15b	0.297052902991932	0	0.0527157406697064	0.217579896757647	0	0.292594385215448	0	0.0867977344408309	0.260496622677261	0	0.0171389494605787	0.0852239844219545	0	1.01879244870494	0.135092592870739	0.384357211324742	0.0758647209289208	0	0.0437571268639588	0.0424696081518782	0	0	0	0.688121863837797	0.758619453577836	3.00993392548053	high	absent	medium_high	medium_high	absent	medium_low	low	medium_high	high	absent	medium_low	present	absent	high	medium_high	medium_high	medium_high	absent	present	medium_low	absent	absent	medium_high
662a73d1-ef4d-482d-b427-7dfbca525571	0.237321649529576	0	0.338316428178705	1.46233673098147	0	0.358310921146935	0.109652487358576	0.250381551227811	0.29995916503739	0	0.0127396714257531	0	0.0221529170369696	0.302743390708591	0.275959314901347	0.49278544190274	0.062615978629582	0	0.392011310623376	0	0	0	0	0.460976875047485	0.886729381625621	4.61728695868882	high	absent	high	high	absent	medium_low	medium_high	high	high	absent	medium_low	absent	present	medium_low	high	high	medium_high	absent	present	low	absent	absent	high
2e48e315-5cdf-4fee-aa5d-3c7baa4030ad	0.0398731778609942	0	0	0.360767385830578	0	0.263956866411859	0.385186392252389	0.099206674411971	0.0636420029188057	0	0.19996673359497	0.0234765546756908	0	0.856814728978205	0.423836277102899	0.577906805694368	0.0395998942166199	0	0	0.110902825699568	0.016373827881788	0.0305910346699505	0	0.728645071965238	0.735820883913221	3.49210118220066	low	absent	low	high	absent	medium_low	high	medium_high	medium_low	absent	high	present	absent	high	high	high	medium_low	absent	absent	medium_high	present	present	high
af831284-873e-4530-8bd6-bde434a78a1a	0.0759237305942527	0	0.00880713839143245	0.257443547365042	0	0.12157732145426	0.0275951551525526	0.035750044031687	0.0843711253111379	0	0.0511304123617756	0.0777748777862269	0.007372465074765	0.366389657741734	0.209583503438687	0.0920167997753804	0.0156592940157656	0	0	0.0737652249081286	0	0	0	0.56053543520399	0.831330199323046	1.50516029740283	medium_low	absent	low	medium_high	absent	low	low	low	medium_low	absent	medium_high	present	present	medium_low	high	low	low	absent	absent	medium_high	absent	absent	low
