file_id	file_name	submitter_id	case_id	case_barcode	sample_id	sample_barcode	portion_id	portion_barcode	analyte_id	analyte_barcode	aliquot_id	aliquot_barcode	fastq_name1	fastq_name2
a8ed2ec3-0285-4028-9698-710a148ce11b	bb342df3-d3a1-4c0b-9434-29f223ba7762_gdc_realn_rehead.bam	31b87c79-b0e2-4fb8-974a-399237eddaea	f130f376-5801-40f9-975d-a7e2f7b5670d	TCGA-A7-A0DB	e2566ada-c2bf-4c25-bcd0-9f49f2d0b4a2	TCGA-A7-A0DB-11A	14224bef-b6d3-4b9a-9c40-5673e6005459	TCGA-A7-A0DB-11A-33	f58413d7-88d1-44d4-9076-f4bec4ba8f28	TCGA-A7-A0DB-11A-33R	3f3bdfbb-3490-42e4-9511-9df4b8a126a3	TCGA-A7-A0DB-11A-33R-A089-07	110909_unc9-sn296_0240_bd0ddbabxx.2_1.fastq	110909_unc9-sn296_0240_bd0ddbabxx.2_2.fastq
dc3ff3a2-41a0-4613-805e-60bb9c1c6a4e	0ac6634e-00b0-4107-a5d6-db8ffc602645_gdc_realn_rehead.bam	8a0513b9-ad07-4cb3-9455-42802fc7971e	38a8b734-9acc-42f9-b5b7-e51b0dfc6504	TCGA-A8-A092	8b5c7e4d-a220-4499-9e38-7deacc1776a2	TCGA-A8-A092-01A	13dba13f-bb5c-4bf9-a8d8-1beee74640f2	TCGA-A8-A092-01A-11	2af8190b-1721-4f5f-b6ac-a4f1191ddf11	TCGA-A8-A092-01A-11R	98b2b18a-004d-459c-8aba-499d06897910	TCGA-A8-A092-01A-11R-A00Z-07	110225_unc12-sn629_0063_ab041jabxx.5_1.fastq	110225_unc12-sn629_0063_ab041jabxx.5_2.fastq
a335003d-112e-4a29-954c-aa18d6537172	cd245d83-b26a-4531-847d-ec75732df95a_gdc_realn_rehead.bam	ab5d26b7-2820-4c8d-871f-f8e4c35b71fd	7eb18190-5a41-4637-9783-f81bbde499e4	TCGA-BH-A1FM	6e6a7a6c-4630-4506-8b57-a0df12ffff4c	TCGA-BH-A1FM-11B	134803ea-2c3b-44bc-be90-944a70286f20	TCGA-BH-A1FM-11B-23	2f653bc6-bce9-4710-9961-72d8f5102d1e	TCGA-BH-A1FM-11B-23R	39ec3623-c15f-4af6-b2df-5413eec21bec	TCGA-BH-A1FM-11B-23R-A13Q-07	110729_unc9-sn296_0211_bc046vabxx.3_1.fastq	110729_unc9-sn296_0211_bc046vabxx.3_2.fastq
a22dfcdd-cd62-48e6-8e16-425a50d30894	b915a5ee-ac0f-45c2-a032-b989e816658b_gdc_realn_rehead.bam	62415228-28ec-4054-a88b-79c6a53cedd8	ef4cbd38-bc79-4d60-a715-647edd2ebe9e	TCGA-E2-A1LG	b462982a-4dd0-425e-bce3-0eb8f5527264	TCGA-E2-A1LG-01A	cd6a8831-e7c3-4d26-b083-10541bae5b0e	TCGA-E2-A1LG-01A-21	796e19fa-5907-4e24-88aa-ab12bd5b99f1	TCGA-E2-A1LG-01A-21R	94d92cd8-21cf-495d-b4fe-8f8c6067fe9e	TCGA-E2-A1LG-01A-21R-A14M-07	111005_unc10-sn254_0285_ab087rabxx.3_1.fastq	111005_unc10-sn254_0285_ab087rabxx.3_2.fastq
006b2b95-7069-4cb6-bfe8-7edb80056add	c4e6dc9a-0546-4ee3-b5bf-19872dca172e_gdc_realn_rehead.bam	7f810faa-92e6-40f5-93f5-d0704dda8aff	c2aeee6c-ba10-4cf9-b560-c739580f7bf3	TCGA-BH-A0BM	5423b7f8-d2bb-47c8-9af8-3d3e1276888c	TCGA-BH-A0BM-01A	100dc045-ed88-43d9-a5b3-7887ac986da0	TCGA-BH-A0BM-01A-11	1987c288-d74b-4ab1-be10-702ef0fc7a62	TCGA-BH-A0BM-01A-11R	986550fb-92db-4e9f-b79a-6c3023dd63a3	TCGA-BH-A0BM-01A-11R-A056-07	110325_unc11-sn627_0070_ab02dvabxx.1_2.fastq	110325_unc11-sn627_0070_ab02dvabxx.1_1.fastq
ed0635e7-c941-422a-81fe-3639202b92ff	69723897-2034-49d9-ad58-10b9f5342403_gdc_realn_rehead.bam	8d7d18e8-d952-405a-a107-9b90df4a41cf	3a711140-1b89-4611-9992-3861e3d0e01a	TCGA-A8-A06N	600df455-fdf4-4955-8d65-236b7b112693	TCGA-A8-A06N-01A	0405a244-6871-444b-abee-98a5977aeb4f	TCGA-A8-A06N-01A-11	b89a21cd-d761-496c-98fc-0f78fc15d2a6	TCGA-A8-A06N-01A-11R	a14dc21a-6a46-4be8-9247-76cbc70dfe8b	TCGA-A8-A06N-01A-11R-A00Z-07	111011_unc12-sn629_0149_ab062vabxx.3_1.fastq	111011_unc12-sn629_0149_ab062vabxx.3_2.fastq
9b7f8a36-b3bf-4fa7-99c9-f9f9850b5621	13f363e1-40ab-42f6-87a2-d7675a3ad537_gdc_realn_rehead.bam	c505f79c-12a8-4761-af1b-1e0a4e15fce4	43b3bf47-7313-4dfb-952a-ec0b9d48e16c	TCGA-OL-A5S0	8718f7f1-a95d-4245-9b00-6c061b69a1c6	TCGA-OL-A5S0-01A	223b012d-cb6c-461b-b938-4f208fa6933f	TCGA-OL-A5S0-01A-11	76ddd216-092b-4e4c-8389-6409c0ebc0cc	TCGA-OL-A5S0-01A-11R	f6e02767-7522-4895-bc70-c7de6b1796ab	TCGA-OL-A5S0-01A-11R-A28M-07	130517_unc9-sn296_0365_ad24udacxx_gatcag_l006_1.fastq	130517_unc9-sn296_0365_ad24udacxx_gatcag_l006_2.fastq
c1839adf-021f-4770-b760-75849675b913	63a02c75-ceec-41d4-a978-5ba257a72d6e_gdc_realn_rehead.bam	b13d1527-a976-4039-958a-c441505031ac	ed6cef77-1bd9-4e3b-b576-550a91e4253a	TCGA-EW-A1J1	af9f631b-2857-48e2-8d77-34f66c1c6149	TCGA-EW-A1J1-01A	cf727c99-56e3-4185-83ae-3e82fc6e2975	TCGA-EW-A1J1-01A-11	c9598a73-147b-471c-b53d-5c3617f426d8	TCGA-EW-A1J1-01A-11R	9d64aa0c-84a6-4e48-b28b-12aaf04813b6	TCGA-EW-A1J1-01A-11R-A13Q-07	110829_unc11-sn627_0148_bd0dgaabxx.8_2.fastq	110829_unc11-sn627_0148_bd0dgaabxx.8_1.fastq
97c6a0ba-530f-4075-9485-1104e80fa4e0	6c82f17d-0343-4da2-b81e-762db6cc0ff7_gdc_realn_rehead.bam	9d38e09f-23f4-48ac-b33a-25665cacb686	cf0e7e4e-b857-4db5-9ae2-551a899f77be	TCGA-AN-A0XP	1359c419-d678-4a51-a50a-1cdf258bb58b	TCGA-AN-A0XP-01A	49ef5656-6580-4433-9636-d2f08b03f8f6	TCGA-AN-A0XP-01A-11	d35b51f3-0fa0-41a4-bb0f-3ef337fe65af	TCGA-AN-A0XP-01A-11R	14fb9342-c11d-460d-af84-f31f7753beeb	TCGA-AN-A0XP-01A-11R-A109-07	110510_unc15-sn850_0069_bc015cabxx.7_1.fastq	110510_unc15-sn850_0069_bc015cabxx.7_2.fastq
c7e02b93-465f-47da-81d7-ec9a8cb1e52b	0dc4b134-4ef6-4f6b-b446-5f6eb36d0fc9_gdc_realn_rehead.bam	f317e970-5847-437b-b92c-41abcd432c46	d8ecba6a-9fff-4993-a799-9a8d2aea524e	TCGA-E2-A1LH	d78f95cd-3823-42ba-9c08-b5a70e41fd63	TCGA-E2-A1LH-11A	85d73147-984d-44e2-88d3-08600b5709a7	TCGA-E2-A1LH-11A-22	6ab7e2c2-d71d-4eed-808c-9218b3da71ec	TCGA-E2-A1LH-11A-22R	c0c2059a-2931-4834-84a7-bfacf137c182	TCGA-E2-A1LH-11A-22R-A14D-07	110809_unc9-sn296_0227_ac0437abxx.5_1.fastq	110809_unc9-sn296_0227_ac0437abxx.5_2.fastq
